Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32585,Hunger,Knut Hamsun,"Hamsun, Knut",,"=""0486431681""","=""9780486431680""",0,4.04,Dover Publications,Paperback,134,2003,1890,,2020/12/05,to-read,to-read (#886),to-read,,,,0,0
12279,Molloy / Malone Dies / The Unnamable,Samuel Beckett,"Beckett, Samuel",Gabriel Josipovici,"=""0375400702""","=""9780375400704""",0,4.28,Everyman's Library,Hardcover,512,1997,1958,,2020/12/05,to-read,to-read (#885),to-read,,,,0,0
527756,The Man Without Qualities,Robert Musil,"Musil, Robert","Burton Pike, Solomon Apt, Sophie Wilkins, Маргарита Иванова","=""0330349422""","=""9780330349420""",0,4.19,Alfred A. Knopf,Paperback,1774,1995,1930,,2020/12/05,to-read,to-read (#884),to-read,,,,0,0
323501,The Search Warrant,Patrick Modiano,"Modiano, Patrick",,"=""1860466125""","=""9781860466120""",0,3.56,Random House UK,Paperback,137,2000,1997,,2020/12/05,to-read,to-read (#883),to-read,,,,0,0
16284878,Once Upon the River Love,Andreï Makine,"Makine, Andreï",Geoffrey Strachan,"=""1611458064""","=""9781611458060""",0,3.86,Arcade,Paperback,224,2013,1993,,2020/12/05,to-read,to-read (#882),to-read,,,,0,0
31451186,"Borne (Borne, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374115249""","=""9780374115241""",0,3.93,"MCD / Farrar, Straus and Giroux ",Hardcover,323,2017,2017,,2020/12/03,to-read,to-read (#881),to-read,,,,0,0
37589179,"Dead Astronauts (Borne, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""""","=""""",0,3.36,Fourth Estate,Kindle Edition,352,2019,2019,,2020/12/03,to-read,to-read (#880),to-read,,,,0,0
44551825,The Maze of Transparencies,Karen An-hwei Lee,"Lee, Karen An-hwei",,"=""1940400090""","=""9781940400099""",0,3.86,Ellipsis Press,Paperback,183,2019,2019,,2020/12/03,to-read,to-read (#879),to-read,,,,0,0
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0735220689""","=""9780735220683""",0,4.23,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,,2020/12/01,to-read,to-read (#878),to-read,,,,0,0
8290959,Martin Chuzzlewit (Classics and Annotated),Charles Dickens,"Dickens, Charles",Patricia Ingham,"=""1101199830""","=""9781101199831""",0,3.83,Penguin Group,Kindle Edition,1101,2022,1844,,2020/06/10,to-read,to-read (#479),to-read,,,,0,0
54314367,Malos tiempos para fantasmas,Walter Wippersberg,"Wippersberg, Walter","Käthi Bhend-Zaugg, Carmen Seco","=""""","=""""",5,3.65,"Espasa-Calpe, S.A.",Paperback,183,1988,1986,,2009/01/24,,,read,,,,1,0
18077752,"Acceptance (Southern Reach, #3)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104115""","=""9780374104115""",0,3.66,"Farrar, Straus and Giroux",Paperback,368,2014,2014,,2020/12/01,to-read,to-read (#876),to-read,,,,0,0
18077769,"Authority (Southern Reach, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104107""","=""9780374104108""",0,3.55,"Farrar, Straus and Giroux",Paperback,368,2014,2014,,2020/12/01,to-read,to-read (#875),to-read,,,,0,0
18136140,La Hora Entre el Perro y el Lobo,Silke Scheuermann,"Scheuermann, Silke",Claudia Cabrera,"=""9685679533""","=""9789685679534""",4,2.96,Sexto Piso,Paperback,116,2007,2007,,2009/10/27,,,read,,,,1,0
638335,My Tender Matador,Pedro Lemebel,"Lemebel, Pedro",Katherine Silver,"=""0802141870""","=""9780802141873""",5,4.47,Grove Press,Paperback,176,2005,2001,2020/11/19,2020/09/24,favorite-list,favorite-list (#69),read,,,,1,0
152833,Nowhere Man,Aleksandar Hemon,"Hemon, Aleksandar",,"=""0330393502""","=""9780330393508""",0,3.70,Picador,Paperback,256,2009,2002,,2020/05/31,to-read,to-read (#874),to-read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.29,Doubleday,Hardcover,720,2015,2015,,2020/05/31,to-read,to-read (#530),to-read,,,,0,0
1276941,"The Farewell Symphony (The Edmund Trilogy, #3)",Edmund White,"White, Edmund",,"=""0679754768""","=""9780679754763""",0,3.99,Knopf Doubleday Publishing Group,Paperback,432,1998,1997,,2020/12/01,to-read,to-read (#872),to-read,,,,0,0
109726,"The Beautiful Room Is Empty (The Edmund Trilogy, #2)",Edmund White,"White, Edmund",,"=""0679755403""","=""9780679755401""",0,3.92,Knopf Doubleday Publishing Group,Paperback,240,1994,1988,,2020/12/01,to-read,to-read (#871),to-read,,,,0,0
337113,The Tenant of Wildfell Hall,Anne Brontë,"Brontë, Anne",Stevie Davies,"=""0140434747""","=""9780140434743""",2,4.03,Penguin Books,Paperback,576,1996,1848,2020/12/01,2020/06/10,,,read,,,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.19,Tinder Press,Hardcover,372,2020,2020,,2020/11/29,to-read,to-read (#870),to-read,,,,0,0
42972048,The Man Who Saw Everything,Deborah Levy,"Levy, Deborah",,"=""1632869845""","=""9781632869845""",0,3.67,Bloomsbury Publishing,Hardcover,199,2019,2014,,2020/11/29,to-read,to-read (#869),to-read,,,,0,0
42194293,Stalingrad,Vasily Grossman,"Grossman, Vasily","Robert Chandler, Elizabeth Chandler","=""1681373270""","=""9781681373270""",0,4.28,NYRB Classics,Paperback,1088,2019,1952,,2020/11/29,to-read,to-read (#868),to-read,,,,0,0
859500,Translations,Brian Friel,"Friel, Brian",,"=""0571117422""","=""9780571117420""",0,3.85,Faber  Faber,Paperback,70,1981,1981,,2020/11/29,to-read,to-read (#867),to-read,,,,0,0
36130507,Tyll,Daniel Kehlmann,"Kehlmann, Daniel",,"=""3498035673""","=""9783498035679""",0,3.95,Rowohlt,Hardcover,474,2017,2017,,2020/11/29,to-read,to-read (#866),to-read,,,,0,0
43811348,All My Cats,Bohumil Hrabal,"Hrabal, Bohumil",Paul Wilson,"=""0811228959""","=""9780811228954""",0,3.57,New Directions,Hardcover,96,2019,1983,,2020/11/29,to-read,to-read (#865),to-read,,,,0,0
